?subject	?name	?year	?band	?gender
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Bruce-Cockburn>	"Bruce Cockburn"	1967	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Keller-Williams-Realty>	"Keller Williams"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ben-Platt-Live-from-Radio-City-Music-Hall>	"Ben Platt"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Dillon>	"Dillon"		false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lee-Greenwood>	"Lee Greenwood"	1962	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Shoreline-Mafia>	"SHORELINE MAFIA"	2016	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Carl-Craig>	"Carl Craig"	1989	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Empire-of-the-Sun-(band)>	"Empire of the Sun"	2007	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Michael-Bolton>	"Michael Bolton"	1975	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Killswitch-Engage>	"Killswitch Engage"	1999	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Sloan>	"Sloan"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lund-(surname)>	"Lund"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Givers>	"Givers"	2008	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Kari-Jobe>	"Kari Jobe"	2003	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/John-Grant-(musician)>	"John Grant"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Long-Way-Down-(Robert-DeLong-song)>	"Robert DeLong"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Camron>	"Cam'ron"	1993	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lil-Jon>	"Lil Jon"	1991	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Colby-ODonis>	"Colby O'Donis"	1999	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Marc-Broussard>	"Marc Broussard"	2004	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ball-Park-Music>	"Ball Park Music"	2008	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Eats-Everything>	"Eats Everything"	2000	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Camino-(band)>	"The Band Camino"	2003	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Letters-to-Cleo>	"Letters to Cleo"	1990	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Nosaj-Thing>	"Nosaj Thing"	2006	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Chris-Martin-(comedian)>	"Chris Martin"	2005	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ron-Pope>	"Ron Pope"	2003	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Disa-Records>	"Fidel Rueda"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Tool-(disambiguation)>	"Tool"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Automatic>	"The Automatic"	1998	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Jamie-Foxx>	"Jamie Foxx"	1989	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Premio-Lo-Nuestro-2019>	"Ulices Chaidez"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Premio-Lo-Nuestro-2019>	"Virlan Garcia"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Alejandra-Guzmán>	"Alejandra Guzmán"	1988	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Avīci-(01)>	"Billy Raffoul"		false	"male"
