?name	?classifciation	?year	?winner	?artist_uri	?artist_name
"American_Music_Award"	"Favorite_Pop/Rock_Female_Artist"	2014	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Iggy-Azalea>	"Iggy Azalea"
"American_Music_Award"	"Favorite_Soul/R&B_Album"	2016	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Rihanna>	"Rihanna"
"Grammy_Award"	"Song_of_the_Year"	1984	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Sting-(musician)>	"Sting"
"American_Music_Award"	"Favorite_Soul/R&B_Male_Artist"	2012	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Usher-(musician)>	"Usher"
"Grammy_Award"	"Album_of_the_Year"	2019	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Brandi-Carlile>	"Brandi Carlile"
"American_Music_Award"	"Favorite_Country_Album"	1988	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/George-Strait>	"George Strait"
"American_Music_Award"	"Favorite_Country_Band/Duo/Group"	2019	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Florida-Georgia-Line>	"Florida Georgia Line"
"Grammy_Award"	"Song_of_the_Year"	2005	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Kanye-West>	"Kanye West"
"Grammy_Award"	"Album_of_the_Year"	1960	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Harry-Belafonte>	"Harry Belafonte"
"Billboard_Music_Award"	"Top_Female_Artist"	2002	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ashanti-(singer)>	"Ashanti"
"American_Music_Award"	"Favorite_Country_Album"	1992	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Alan-Jackson>	"Alan Jackson"
"American_Music_Award"	"Favorite_Country_Male_Artist"	2019	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Thomas-Rhett>	"Thomas Rhett"
"American_Music_Award"	"Favorite_Pop/Rock_Female_Artist"	2002	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Janet-Jackson>	"Janet Jackson"
"Billboard_Music_Award"	"Top_Hot_100_Song"	2017	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Chainsmokers>	"The Chainsmokers"
"American_Music_Award"	"Favorite_Soul/R&B_Album"	1997	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Toni-Braxton>	"Toni Braxton"
"American_Music_Award"	"Favorite_Country_Male_Artist"	2001	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Alan-Jackson>	"Alan Jackson"
"American_Music_Award"	"Favorite_Country_Male_Artist"	1974	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Charley-Pride>	"Charley Pride"
"American_Music_Award"	"Favorite_Soul/R&B_Female_Artist"	2013	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Rihanna>	"Rihanna"
"American_Music_Award"	"Favorite_Rap/Hip"	2004	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Outkast>	"OutKast"
"American_Music_Award"	"Favorite_Pop/Rock_Female_Artist"	1980	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Barbra-Streisand>	"Barbra Streisand"
"American_Music_Award"	"Favorite_Country_Album"	1990	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Randy-Travis>	"Randy Travis"
"Grammy_Award"	"Album_of_the_Year"	2000	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Chicks>	"The Chicks (US)"
"American_Music_Award"	"Favorite_Pop/Rock_Band/Duo/Group"	2013	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Imagine-Dragons>	"Imagine Dragons"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	1988	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/U2>	"U2"
"American_Music_Award"	"Favorite_Soul/R&B_Male_Artist"	1998	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Keith-Sweat>	"Keith Sweat"
"American_Music_Award"	"Favorite_Country_Band/Duo/Group"	1982	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Willie-Nelson>	"Willie Nelson"
"American_Music_Award"	"Favorite_Soul/R&B_Female_Artist"	2008	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Alicia-Keys>	"Alicia Keys"
"Billboard_Music_Award"	"Top_Hot_100_Song"	2014	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Robin-Thicke>	"Robin Thicke"
"Billboard_Music_Award"	"Top_Female_Artist"	2018	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cardi-B>	"Cardi B"
"American_Music_Award"	"Favorite_Country_Male_Artist"	1999	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Garth-Brooks>	"Garth Brooks"
"Billboard_Music_Award"	"Top_Hot_100_Song"	2013	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Kimbra>	"Kimbra"
"Billboard_Music_Award"	"Top_Female_Artist"	2016	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Selena-Gomez>	"Selena Gomez"
"Billboard_Music_Award"	"Top_Female_Artist"	2016	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Selena-Gomez>	"Selena Gomez & The Scene"
"Billboard_Music_Award"	"Top_Female_Artist"	2016	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Selena-Gomez>	"Gomez"
